	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	17850468	2020-09-29	0.1097	1973190732
1	Blackrock Inc.	14040354	2020-09-29	0.0862	1552020731
2	ClearBridge Investments, LLC	7652193	2020-09-29	0.047	845873414
3	Canada Pension Plan Investment Board	7238399	2020-09-29	0.044500000000000005	800132625
4	State Street Corporation	7057105	2020-09-29	0.0433	780092386
5	Bank of America Corporation	3917967	2020-09-29	0.0241	433092072
6	First Trust Advisors LP	3764599	2020-09-29	0.0231	416138773
7	FMR, LLC	3426659	2020-09-29	0.021	378782885
8	JP Morgan Chase & Company	3189339	2020-09-29	0.0196	352549533
9	Geode Capital Management, LLC	2894191	2020-09-29	0.0178	319923873
