	0	1
Earnings Date	2021-02-09 00:00:00	2021-02-15 00:00:00
Earnings Average	1.31	1.31
Earnings Low	1.28	1.28
Earnings High	1.38	1.38
Revenue Average	828390000	828390000
Revenue Low	812310000	812310000
Revenue High	843450000	843450000
