	Holder	Shares	Date Reported	% Out	Value
0	State Street Corporation	90395535	Dec 30, 2019	10.44%	13537635321
1	Vanguard Group, Inc. (The)	70309850	Dec 30, 2019	8.12%	10529603136
2	Blackrock Inc.	57639496	Dec 30, 2019	6.65%	8632090920
3	Wellington Management Company, LLP	23442056	Dec 30, 2019	2.71%	3510682306
4	Bank of America Corporation	17633056	Dec 30, 2019	2.04%	2640726466
5	Dodge & Cox Inc	16954503	Dec 30, 2019	1.96%	2539106369
6	Massachusetts Financial Services Co.	15034348	Dec 30, 2019	1.74%	2251543956
7	JP Morgan Chase & Company	12279101	Dec 30, 2019	1.42%	1838918165
8	Morgan Stanley	11928664	Dec 30, 2019	1.38%	1786436720
9	FMR, LLC	11553365	Dec 30, 2019	1.33%	1730231942
