	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	16536004	2020-06-29	0.10220000000000001	2269897269
1	Blackrock Inc.	10980991	2020-06-29	0.0679	1507360634
2	Renaissance Technologies, LLC	5973687	2020-06-29	0.0369	820008014
3	State Street Corporation	5633804	2020-06-29	0.0348	773352275
4	Ameriprise Financial, Inc.	4761470	2020-06-29	0.0294	653606986
5	FMR, LLC	3402269	2020-06-29	0.021	467029465
6	Geode Capital Management, LLC	2572209	2020-06-29	0.0159	353087129
7	Whale Rock Capital Management LLC	2530603	2020-06-29	0.015600000000000001	347375873
8	Pictet Asset Management Ltd	1708471	2020-06-29	0.0106	234521814
9	Norges Bank Investment Management	1641653	2019-12-30	0.0101	175262874
