	0	1
Earnings Date	2020-10-30 00:00:00	2020-11-03 00:00:00
Earnings Average	2.12	2.12
Earnings Low	1.94	1.94
Earnings High	2.46	2.46
Revenue Average	22998800000	22998800000
Revenue Low	22090500000	22090500000
Revenue High	24187100000	24187100000
