	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	95762812	2020-06-29	0.07429999999999999	3231037276
1	Blackrock Inc.	92570879	2020-06-29	0.0718	3123341457
2	Vanguard Group, Inc. (The)	89618656	2020-06-29	0.0695	3023733453
3	State Street Corporation	47243490	2020-06-29	0.036699999999999997	1593995352
4	Wellington Management Company, LLP	46859600	2020-06-29	0.0364	1581042904
5	Price (T.Rowe) Associates Inc	43132219	2020-06-29	0.0335	1455281069
6	Primecap Management Company	28780049	2020-06-29	0.0223	971038853
7	JP Morgan Chase & Company	27835991	2020-06-29	0.0216	939186336
8	Generation Investment Management LLP	26536834	2020-06-29	0.0206	895352779
9	AllianceBernstein, L.P.	19374779	2020-06-29	0.015	653705043
