	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	9459836	2020-06-29	0.1487	91476614
1	Blackrock Inc.	6820864	2020-06-29	0.1072	65957754
2	Dimensional Fund Advisors LP	5188002	2020-06-29	0.0816	50167979
3	Vanguard Group, Inc. (The)	4365706	2020-06-29	0.06860000000000001	42216377
4	State Street Corporation	1853088	2020-06-29	0.0291	17919360
5	Senvest Management LLC	1538476	2020-06-29	0.0242	14877062
6	Shaw D.E. & Co., Inc.	1350366	2020-06-29	0.0212	13058039
7	JP Morgan Chase & Company	1054644	2020-06-29	0.0166	10198407
8	Charles Schwab Investment Management, Inc.	802878	2020-06-29	0.0126	7763830
9	Deutsche Bank Aktiengesellschaft	750671	2020-06-29	0.0118	7258988
