	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	15941919	2020-06-29	0.0956	1169020920
1	FMR, LLC	12633260	2020-06-29	0.0757	926396955
2	Blackrock Inc.	11550096	2020-06-29	0.0692	846968539
3	Wellington Management Company, LLP	9993756	2020-06-29	0.0599	732842127
4	Select Equity Group, Inc.	9211018	2020-06-29	0.0552	675443949
5	Capital International Investors	9082621	2020-06-29	0.054400000000000004	666028597
6	Janus Henderson Group PLC	7432425	2020-06-29	0.0446	545019725
7	BlueSpruce Investments, LP	4410217	2020-06-29	0.0264	323401212
8	State Street Corporation	3979067	2020-06-29	0.0239	291784983
9	Ameriprise Financial, Inc.	3266666	2020-06-29	0.0196	239544617
