	Holder	Shares	Date Reported	% Out	Value
0	UBS Group AG	57768950	Jun 29, 2020	3.73%	591554048
1	Vanguard Group, Inc. (The)	35818350	Mar 30, 2020	2.31%	257533936
2	Baillie Gifford and Company	34550994	Mar 30, 2020	2.23%	248421646
3	Conifer Management, L.L.C.	28000000	Mar 30, 2020	1.81%	201320000
4	Harris Associates L.P.	25169038	Mar 30, 2020	1.62%	180965383
5	Amundi Pioneer Asset Management	25143526	Mar 30, 2020	1.62%	180781951
6	Arrowstreet Capital, Limited Partnership	23450026	Mar 30, 2020	1.51%	168605686
7	Goldman Sachs Group, Inc.	19188864	Mar 30, 2020	1.24%	137967932
8	Credit Suisse Ag/	18914686	Mar 30, 2020	1.22%	135996592
9	Deutsche Bank Aktiengesellschaft	15375413	Mar 30, 2020	0.99%	110549219
