	Holder	Shares	Date Reported	% Out	Value
0	JP Morgan Chase & Company	73420997	2020-06-29	0.014199999999999999	4168109999
1	Massachusetts Financial Services Co.	44146200	2020-06-29	0.0085	2506179774
2	Sanders Capital, Llc	41047122	2020-06-29	0.0079	2330245115
3	Capital World Investors	40571116	2020-06-29	0.0078000000000000005	2303222255
4	Bank Of New York Mellon Corporation	39965582	2020-06-29	0.0077	2268846090
5	Capital International Investors	36464609	2020-06-29	0.006999999999999999	2070095852
6	WCM Investment Management, LLC	31179033	2020-06-29	0.006	1770033703
7	Wellington Management Company, LLP	29756970	2020-06-29	0.005699999999999999	1689303186
8	Fisher Asset Management, LLC	29499743	2020-06-29	0.005699999999999999	1674700410
9	Vanguard Group, Inc. (The)	28589311	2020-06-29	0.0055000000000000005	1623015185
