	0	1
Earnings Date	2020-10-21 00:00:00	2020-10-26 00:00:00
Earnings Average	0.37	0.37
Earnings Low	0.06	0.06
Earnings High	0.75	0.75
Revenue Average	322250000	322250000
Revenue Low	300040000	300040000
Revenue High	348330000	348330000
