	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	91002442	2020-06-29	0.07780000000000001	6696869706
1	Blackrock Inc.	84535182	2020-06-29	0.0723	6220944043
2	State Street Corporation	50776625	2020-06-29	0.0434	3736651833
3	Magellan Asset Management Ltd	28975494	2020-06-29	0.0248	2132306603
4	FMR, LLC	21754140	2020-06-29	0.018600000000000002	1600887162
5	Northern Trust Corporation	19340785	2020-06-29	0.0165	1423288368
6	Geode Capital Management, LLC	18093187	2020-06-29	0.0155	1331477631
7	Bank of America Corporation	16583601	2020-06-29	0.014199999999999999	1220387197
8	Morgan Stanley	15121406	2020-06-29	0.0129	1112784267
9	Polen Capital Management, LLC	12770818	2020-06-29	0.0109	939804496
