	Holder	Shares	Date Reported	% Out	Value
0	Longview Asset Management, LLC	32212324	Jun 29, 2020	11.23%	4814453945
1	Vanguard Group, Inc. (The)	21134847	Mar 30, 2020	7.37%	2796351606
2	Newport Trust Co	19440616	Mar 30, 2020	6.78%	2572187902
3	Capital Research Global Investors	16557471	Mar 30, 2020	5.77%	2190718988
4	Wellington Management Company, LLP	15587245	Mar 30, 2020	5.43%	2062348385
5	Blackrock Inc.	14706555	Mar 30, 2020	5.13%	1945824292
6	State Street Corporation	10752965	Mar 30, 2020	3.75%	1422724799
7	JP Morgan Chase & Company	7584610	Mar 30, 2020	2.64%	1003519749
8	FMR, LLC	6868819	Mar 30, 2020	2.39%	908813441
9	Bank of America Corporation	6212165	Mar 30, 2020	2.17%	821931551
