	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Total Stock Market Index Fund	7211936	2020-03-30	0.025099999999999997	954211252
1	Vanguard Specialized-Dividend Growth Fund	6346446	2020-04-29	0.022099999999999998	828972776
2	Investment Company Of America	5322344	2020-03-30	0.018500000000000003	704199334
3	Vanguard 500 Index Fund	4823529	2020-03-30	0.0168	638201121
4	JP Morgan Equity Income Fund	3265242	2020-05-30	0.011399999999999999	479435482
5	Vanguard Specialized-Dividend Appreciation Index Fund	2703106	2020-04-29	0.009399999999999999	353079705
6	SPDR S&P 500 ETF Trust	2501153	2020-05-30	0.0087	367244294
7	American Mutual Fund Inc	2422078	2020-04-29	0.0084	316371828
8	Franklin Managed Trust - Rising Dividends Fund	2109990	2020-03-30	0.0074	279172776
9	Vanguard/Wellesley Income Fund	2096000	2020-03-30	0.0073	277321760
