	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	3227681	2020-06-29	0.0788	5139565563
1	Blackrock Inc.	2863325	2020-06-29	0.0699	4559386930
2	Price (T.Rowe) Associates Inc	2382684	2020-06-29	0.0582	3794043040
3	State Street Corporation	1765315	2020-06-29	0.0431	2810981687
4	Dodge & Cox Inc	1474134	2020-06-29	0.036000000000000004	2347322533
5	Bank Of New York Mellon Corporation	867801	2020-06-29	0.0212	1381834244
6	FMR, LLC	867552	2020-06-29	0.0212	1381437751
7	Invesco Ltd.	821338	2020-06-29	0.020099999999999996	1307849350
8	Harris Associates L.P.	805778	2020-06-29	0.0197	1283072540
9	JP Morgan Chase & Company	790805	2020-06-29	0.019299999999999998	1259230433
