	0	1
Earnings Date	2020-11-05 00:00:00	2020-11-09 00:00:00
Earnings Average	14.55	14.55
Earnings Low	3.03	3.03
Earnings High	27.57	27.57
Revenue Average	2548310000	2548310000
Revenue Low	1700610000	1700610000
Revenue High	2879000000	2879000000
