	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	113112650	2020-06-29	0.08410000000000001	10372430005
1	Blackrock Inc.	111209886	2020-06-29	0.0827	10197946546
2	State Street Corporation	58870029	2020-06-29	0.0438	5398381659
3	Wellington Management Company, LLP	52207639	2020-06-29	0.0388	4787440496
4	Massachusetts Financial Services Co.	50653883	2020-06-29	0.0377	4644961071
5	Lazard Asset Management LLC	24414951	2020-06-29	0.0182	2238851006
6	Bank of America Corporation	21223709	2020-06-29	0.0158	1946214115
7	Geode Capital Management, LLC	20425066	2020-06-29	0.0152	1872978552
8	Nordea Investment Management Ab	19803840	2020-06-29	0.0147	1816012128
9	Franklin Resources, Inc.	18712042	2020-06-29	0.0139	1715894251
