	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	12463480	2020-06-29	0.1192	7772849302
1	Blackrock Inc.	9789573	2020-06-29	0.09359999999999999	6105267201
2	Vanguard Group, Inc. (The)	7844995	2020-06-29	0.075	4892531131
3	Capital World Investors	6935355	2020-06-29	0.0663	4325234145
4	State Street Corporation	4551665	2020-06-29	0.0435	2838645877
5	Wellington Management Company, LLP	3663868	2020-06-29	0.035	2284971278
6	Loomis Sayles & Company, LP	3259698	2020-06-29	0.031200000000000002	2032910657
7	Polen Capital Management, LLC	1844534	2020-06-29	0.0176	1150343629
8	JP Morgan Chase & Company	1797470	2020-06-29	0.0172	1120992165
9	Nuveen Asset Management	1706789	2020-06-29	0.0163	1064438959
