	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	113515212	2020-06-29	0.09369999999999999	2666472329
1	Vanguard Group, Inc. (The)	86564035	2020-06-29	0.07150000000000001	2033389182
2	Edgewood Management Company	65573413	2020-06-29	0.0541	1540319471
3	Blackrock Inc.	52597085	2020-06-29	0.0434	1235505526
4	Capital World Investors	39763986	2020-06-29	0.032799999999999996	934056031
5	Morgan Stanley	29134138	2020-06-29	0.0241	684360901
6	Wellington Management Company, LLP	14573521	2020-06-29	0.012	342332008
7	Janus Henderson Group PLC	14049293	2020-06-29	0.0116	330017892
8	JP Morgan Chase & Company	12899324	2020-06-29	0.010700000000000001	303005120
9	Citigroup Inc.	12133374	2020-06-29	0.01	285012955
