	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	24945197	2020-06-29	0.10859999999999999	2229352255
1	Blackrock Inc.	15780757	2020-06-29	0.0687	1410326253
2	FMR, LLC	10289022	2020-06-29	0.044800000000000006	919529896
3	State Street Corporation	9215622	2020-06-29	0.0401	823600138
4	Massachusetts Financial Services Co.	7115889	2020-06-29	0.031	635946999
5	JP Morgan Chase & Company	4597680	2020-06-29	0.02	410894661
6	Boston Partners	4425348	2020-06-29	0.019299999999999998	395493350
7	American Century Companies, Inc.	4407749	2020-06-29	0.0192	393920528
8	Geode Capital Management, LLC	3711042	2020-06-29	0.016200000000000003	331655823
9	Mawer Investment Management Limited	3667372	2020-06-29	0.016	327753035
