	Holder	Shares	Date Reported	% Out	Value
0	Parametric Portfolio Associates	6262156	2020-06-29	0.0018	27803972
1	Northern Trust Corporation	3621842	2020-06-29	0.001	16080978
2	Aperio Group LLC	3518651	2020-06-29	0.001	15622810
3	Goldman Sachs Group, Inc.	3463117	2020-06-29	0.001	15376239
4	Renaissance Technologies, LLC	2000490	2020-06-29	0.0006	8882175
5	LMR Partners LLP	976056	2020-06-29	0.0003	4333688
6	Shaw D.E. & Co., Inc.	910281	2020-06-29	0.0003	4041647
7	Dimensional Fund Advisors LP	883161	2020-06-29	0.0003	3921234
8	Cowen and Company, LLC	360000	2020-06-29	0.0001	1598400
9	Jane Street Group, LLC	316238	2020-06-29	0.0001	1404096
