	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	3153152	2020-09-29	0.077	5394034063
1	Blackrock Inc.	2793109	2020-09-29	0.0682	4778115704
2	Price (T.Rowe) Associates Inc	2198815	2020-09-29	0.0537	3761468844
3	State Street Corporation	1757476	2020-09-29	0.0429	3006479043
4	Dodge & Cox Inc	1240419	2020-09-29	0.030299999999999997	2121959974
5	Invesco Ltd.	861647	2020-09-29	0.021	1474002289
6	Bank Of New York Mellon Corporation	861002	2020-09-29	0.021	1472898901
7	FMR, LLC	792128	2020-09-29	0.019299999999999998	1355077527
8	JP Morgan Chase & Company	788079	2020-09-29	0.0192	1348150983
9	Harris Associates L.P.	747028	2020-09-29	0.0182	1277925859
