	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	22655556	2020-06-29	0.0784	2991666169
1	Blackrock Inc.	20369475	2020-06-29	0.0705	2689789173
2	State Street Corporation	14540077	2020-06-29	0.050300000000000004	1920017167
3	FMR, LLC	12712001	2020-06-29	0.044000000000000004	1678619732
4	Massachusetts Financial Services Co.	12096810	2020-06-29	0.04190000000000001	1597383760
5	AllianceBernstein, L.P.	7253889	2020-06-29	0.025099999999999997	957876042
6	Invesco Ltd.	5932185	2020-06-29	0.020499999999999997	783345029
7	Brown Advisory Inc.	5903838	2020-06-29	0.0204	779601807
8	Capital Research Global Investors	4757734	2020-06-29	0.0165	628258774
9	Geode Capital Management, LLC	4595825	2020-06-29	0.0159	606878691
