	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	78143901	2020-09-29	0.0855	4645654914
1	Vanguard Group, Inc. (The)	73758988	2020-09-29	0.08070000000000001	4384971836
2	Price (T.Rowe) Associates Inc	46544129	2020-09-29	0.0509	2767048469
3	State Street Corporation	43907962	2020-09-29	0.048	2610328340
4	Capital World Investors	21616165	2020-09-29	0.0236	1285081009
5	Invesco Ltd.	19084528	2020-09-29	0.0209	1134575189
6	Capital International Investors	18963858	2020-09-29	0.0207	1127401358
7	Bank Of New York Mellon Corporation	16187066	2020-09-29	0.0177	962321073
8	Davis Selected Advisers, LP	15698648	2020-09-29	0.0172	933284623
9	Ameriprise Financial, Inc.	15686287	2020-09-29	0.0172	932549762
