	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	14419084	2020-06-29	0.1167	2132726714
1	Blackrock Inc.	14186544	2020-06-29	0.1148	2098331723
2	State Street Corporation	5855745	2020-06-29	0.047400000000000005	866123242
3	ClearBridge Investments, LLC	4008090	2020-06-29	0.032400000000000005	592836591
4	Srs Investment Management, Llc	3706459	2020-06-29	0.03	548222350
5	First Trust Advisors LP	3075665	2020-06-29	0.024900000000000002	454921610
6	FMR, LLC	2644032	2020-06-29	0.021400000000000002	391078773
7	Price (T.Rowe) Associates Inc	2568945	2020-06-29	0.0208	379972654
8	Bank Of New York Mellon Corporation	2363970	2020-06-29	0.0191	349654802
9	Geode Capital Management, LLC	2078086	2020-06-29	0.0168	307369700
