	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	104166567	2020-06-29	0.09230000000000001	9501032576
1	Blackrock Inc.	77338447	2020-06-29	0.06849999999999999	7054039750
2	FMR, LLC	51333949	2020-06-29	0.0455	4682169488
3	State Street Corporation	47442606	2020-06-29	0.042	4327240093
4	Price (T.Rowe) Associates Inc	41075231	2020-06-29	0.0364	3746471819
5	Primecap Management Company	21184833	2020-06-29	0.018799999999999997	1932268617
6	Invesco Ltd.	17952409	2020-06-29	0.0159	1637439224
7	Bank Of New York Mellon Corporation	17663310	2020-06-29	0.015700000000000002	1611070505
8	Geode Capital Management, LLC	16911050	2020-06-29	0.015	1542456870
9	Northern Trust Corporation	15131907	2020-06-29	0.0134	1380181237
