	Holder	Shares	Date Reported	% Out	Value
0	Tiger Global Management, LLC	51650366	2020-06-29	0.0429	3108319025
1	Blackrock Inc.	43621550	2020-06-29	0.0362	2625144879
2	Vanguard Group, Inc. (The)	30378477	2020-06-29	0.0252	1828176745
3	Invesco Ltd.	30066256	2020-06-29	0.025	1809387286
4	D1 Capital Partners, LP	20216088	2020-06-29	0.0168	1216604175
5	JP Morgan Chase & Company	19975679	2020-06-29	0.0166	1202136362
6	FMR, LLC	18911771	2020-06-29	0.015700000000000002	1138110378
7	State Street Corporation	17911359	2020-06-29	0.0149	1077905584
8	Schroder Investment Management Group	13395140	2020-06-29	0.0111	806119525
9	Norges Bank Investment Management	11084778	2019-12-30	0.0092	390516728
