	0	1
Earnings Date	2020-08-11 00:00:00	2020-08-17 00:00:00
Earnings Average	0.39	0.39
Earnings Low	0.25	0.25
Earnings High	0.48	0.48
Revenue Average	24913300000	24913300000
Revenue Low	24169800000	24169800000
Revenue High	25607800000	25607800000
