	Holder	Shares	Date Reported	% Out	Value
0	Capital World Investors	39035422	2020-06-29	0.0965	12319969537
1	Capital International Investors	35013371	2020-06-29	0.0866	11050570021
2	Vanguard Group, Inc. (The)	33450598	2020-06-29	0.0827	10557343234
3	Capital Research Global Investors	32243109	2020-06-29	0.0797	10176247631
4	Blackrock Inc.	26151390	2020-06-29	0.0647	8253640197
5	State Street Corporation	16542649	2020-06-29	0.0409	5221025450
6	Bank of America Corporation	7896443	2020-06-29	0.0195	2492196375
7	Ameriprise Financial, Inc.	5989617	2020-06-29	0.0148	1890383021
8	Geode Capital Management, LLC	5835013	2020-06-29	0.0144	1841588452
9	Northern Trust Corporation	4777544	2020-06-29	0.0118	1507840661
