Date	Firm	To Grade	From Grade	Action
2016-10-04 21:14:35	Bernstein	Outperform		init
2016-10-05 08:32:25	Bernstein	Outperform		init
2016-10-06 07:38:49	Wells Fargo	Market Perform		init
2016-11-03 11:16:25	Pacific Crest	Overweight		main
2017-07-17 16:51:23	Morgan Stanley	Overweight		main
2017-08-25 13:14:12	KeyBanc	Overweight		main
2017-08-25 13:18:46	Jefferies	Buy		main
2017-10-18 16:22:15	Barclays	Overweight		main
2017-11-06 12:55:18	Nomura	Buy		main
2017-11-20 13:08:08	BMO Capital	Outperform		main
2017-11-29 17:34:31	Canaccord Genuity	Buy	Buy	main
2017-12-05 21:38:40	KeyBanc	Overweight	Overweight	main
2018-03-12 13:26:10	BMO Capital	Outperform	Outperform	main
2018-03-15 12:50:18	Deutsche Bank	Buy	Buy	main
2018-04-30 13:18:27	Morgan Stanley	Overweight	Overweight	main
2018-05-01 12:25:42	Canaccord Genuity	Buy	Buy	main
2018-05-01 13:03:55	Deutsche Bank	Buy	Buy	main
2018-05-01 13:25:07	JP Morgan	Overweight	Overweight	main
2018-05-01 13:40:30	Baird	Outperform	Outperform	main
2018-05-01 13:56:19	Citigroup	Buy	Buy	main
2018-05-01 15:28:30	Bank of America	Buy	Buy	main
2018-05-05 13:32:14	Argus	Buy		main
2018-05-05 14:00:36	B. Riley FBR	Buy		main
2018-05-05 14:00:39	B. Riley FBR	Buy	Buy	main
2018-05-09 11:43:35	Nomura	Neutral	Buy	down
2018-06-08 11:15:27	Canaccord Genuity	Buy	Buy	main
2018-06-08 11:59:23	Citigroup	Buy	Buy	main
2018-06-08 12:02:56	Bank of America	Buy	Buy	main
2018-06-08 12:17:40	Jefferies	Buy	Buy	main
2018-06-08 12:36:08	B. Riley FBR	Buy	Buy	main
2018-07-12 12:18:36	Evercore ISI Group	In-Line	Outperform	down
2018-07-12 12:28:54	B. Riley FBR	Neutral	Buy	down
2018-07-12 12:39:37	Nomura	Neutral	Neutral	main
2018-07-12 15:11:54	Macquarie	Neutral	Outperform	down
2018-07-12 16:26:11	RBC Capital	Outperform	Top Pick	down
2018-07-13 11:19:25	BMO Capital	Market Perform	Outperform	down
2018-07-13 11:38:21	Raymond James	Market Perform	Strong Buy	down
2018-07-16 13:28:27	Bank of America	Neutral		reit
2018-07-18 12:29:24	Goldman Sachs	Neutral	Buy	down
2018-07-20 12:54:30	UBS	Buy	Buy	main
2018-07-25 11:01:24	KeyBanc	Overweight	Overweight	main
2018-09-07 12:25:49	B. Riley FBR	Neutral	Neutral	main
2018-09-07 13:39:27	Bank of America	Buy	Neutral	up
2018-09-17 10:31:41	Nomura	Buy	Neutral	up
2018-12-03 10:56:41	B. Riley FBR	Buy	Neutral	up
2018-12-03 14:23:24	Deutsche Bank	Buy	Buy	main
2018-12-07 12:53:52	Morgan Stanley	Equal-Weight	Equal-Weight	main
2018-12-07 13:10:46	MKM Partners	Buy	Buy	main
2018-12-07 13:18:54	BMO Capital	Market Perform	Market Perform	main
2018-12-07 13:31:37	UBS	Buy	Buy	main
2019-01-07 13:40:45	Morgan Stanley	Equal-Weight	Equal-Weight	main
