	0	1
Earnings Date	2020-10-22 00:00:00	2020-10-26 00:00:00
Earnings Average	0.39	0.39
Earnings Low	0.38	0.38
Earnings High	0.44	0.44
Revenue Average	261400000	261400000
Revenue Low	260220000	260220000
Revenue High	266790000	266790000
