	Holder	Shares	Date Reported	% Out	Value
0	Price (T.Rowe) Associates Inc	16110190	2020-06-29	0.1026	3018405198
1	Vanguard Group, Inc. (The)	10700629	2020-06-29	0.0682	2004869849
2	Blackrock Inc.	8766564	2020-06-29	0.0558	1642503431
3	Baillie Gifford and Company	8612391	2020-06-29	0.054900000000000004	1613617577
4	Wellington Management Company, LLP	8472864	2020-06-29	0.054000000000000006	1587475799
5	Morgan Stanley	5572207	2020-06-29	0.0355	1044008703
6	FMR, LLC	5182959	2020-06-29	0.033	971079198
7	Jennison Associates LLC	4251361	2020-06-29	0.0271	796534996
8	Loomis Sayles & Company, LP	4027000	2020-06-29	0.0256	754498720
9	Sands Capital Management, Inc.	3729694	2020-06-29	0.023799999999999998	698795467
