	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	11759040	2020-06-29	0.098	2354512579
1	Vanguard Group, Inc. (The)	11072369	2020-06-29	0.09230000000000001	2217020444
2	FMR, LLC	9520475	2020-06-29	0.0794	1906284709
3	Blackrock Inc.	8691603	2020-06-29	0.0725	1740319668
4	Price (T.Rowe) Associates Inc	4398840	2020-06-29	0.036699999999999997	880779733
5	State Street Corporation	2401092	2020-06-29	0.02	480770651
6	First Trust Advisors LP	2161189	2020-06-29	0.018000000000000002	432734873
7	Allianz Asset Management GmbH	2060583	2020-06-29	0.0172	412590534
8	Whale Rock Capital Management LLC	2037730	2020-06-29	0.017	408014677
9	Sands Capital Management, Inc.	1839067	2020-06-29	0.015300000000000001	368236385
