	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	200065592	2020-09-29	0.08839999999999999	12061954541
1	Blackrock Inc.	162409990	2020-09-29	0.0718	9791698297
2	State Street Corporation	97491132	2020-09-29	0.0431	5877740348
3	JP Morgan Chase & Company	66361034	2020-09-29	0.029300000000000003	4000906739
4	FMR, LLC	62626025	2020-09-29	0.0277	3775723047
5	Wellington Management Company, LLP	53988407	2020-09-29	0.0239	3254961058
6	Geode Capital Management, LLC	33729642	2020-09-29	0.0149	2033560116
7	Bank of America Corporation	32888864	2020-09-29	0.014499999999999999	1982869610
8	Renaissance Technologies, LLC	30576427	2020-09-29	0.013500000000000002	1843452783
9	Berkshire Hathaway, Inc	29971194	2020-09-29	0.0132	1806963286
