	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	7335373	2020-06-29	0.1867	181770542
1	Vanguard Group, Inc. (The)	3661934	2020-06-29	0.0932	90742724
2	Dimensional Fund Advisors LP	3063610	2020-06-29	0.078	75916255
3	State Street Corporation	1977520	2020-06-29	0.050300000000000004	49002945
4	Invesco Ltd.	1486223	2020-06-29	0.0378	36828605
5	Grantham Mayo Van Otterloo & Company	1389402	2020-06-29	0.0354	34429381
6	Private Management Group, Inc.	1147497	2020-06-29	0.0292	28434975
7	DnB Asset Management AS	961230	2020-06-29	0.0245	23819279
8	Parsifal Capital Management, LP	869683	2020-06-29	0.022099999999999998	21550744
9	Northern Trust Corporation	841623	2020-06-29	0.021400000000000002	20855417
