	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	33459756	2020-06-29	0.12	3210798185
1	Blackrock Inc.	30894147	2020-06-29	0.1108	2964602346
2	Massachusetts Financial Services Co.	28461010	2020-06-29	0.10210000000000001	2731118519
3	State Street Corporation	12387177	2020-06-29	0.0444	1188673504
4	Parnassus Investments /ca	7496877	2020-06-29	0.0269	719400316
5	Geode Capital Management, LLC	5474277	2020-06-29	0.0196	525311620
6	Alkeon Capital Management LLC	5141760	2020-06-29	0.0184	493403289
7	FMR, LLC	4904736	2020-06-29	0.0176	470658466
8	Pictet Asset Management Ltd	4316503	2020-06-29	0.0155	414211627
9	Voya Investment Management LLC	4254420	2020-06-29	0.015300000000000001	408254143
