	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	11034682	2020-06-29	0.1041	546216759
1	Blackrock Inc.	9709395	2020-06-29	0.0916	480615052
2	Vanguard Group, Inc. (The)	7107387	2020-06-29	0.06709999999999999	351815656
3	Invesco Ltd.	3184352	2020-06-29	0.0301	157625424
4	BNP Paribas Asset Management Holding S.A.	2596430	2020-06-29	0.0245	128523285
5	Bank Of New York Mellon Corporation	2351867	2020-06-29	0.0222	116417416
6	State Street Corporation	2194716	2020-06-29	0.0207	108638442
7	Amundi Pioneer Asset Management	1766584	2020-06-29	0.0167	87445908
8	Norges Bank Investment Management	1700264	2019-12-30	0.016	95146773
9	Schroder Investment Management Group	1310797	2020-06-29	0.0124	64884451
