	0	1
Earnings Date	2020-10-20 00:00:00	2020-10-26 00:00:00
Earnings Average	0.93	0.93
Earnings Low	0.64	0.64
Earnings High	1.14	1.14
Revenue Average	4307350000	4307350000
Revenue Low	3661000000	3661000000
Revenue High	4754000000	4754000000
