	0	1
Earnings Date	2020-10-22 00:00:00	2020-10-26 00:00:00
Earnings Average	0.71	0.71
Earnings Low	0.7	0.7
Earnings High	0.74	0.74
Revenue Average	1374360000	1374360000
Revenue Low	1357300000	1357300000
Revenue High	1385000000	1385000000
