	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	15549953	2020-06-29	0.11349999999999999	1165468977
1	Capital Research Global Investors	12837051	2020-06-29	0.09369999999999999	962136972
2	Blackrock Inc.	11132950	2020-06-29	0.0812	834414602
3	Janus Henderson Group PLC	5967593	2020-06-29	0.0436	447271095
4	State Street Corporation	5536608	2020-06-29	0.0404	414968769
5	JP Morgan Chase & Company	4395999	2020-06-29	0.0321	329480125
6	Principal Financial Group, Inc.	3770539	2020-06-29	0.0275	282601898
7	Wells Fargo & Company	2666643	2020-06-29	0.0195	199864892
8	HS Management Partners, LLC	2185055	2020-06-29	0.0159	163769872
9	Geode Capital Management, LLC	2164398	2020-06-29	0.0158	162221630
