	Holder	Shares	Date Reported	% Out	Value
0	Morgan Stanley	65048534	2020-06-29	0.1346	2022358922
1	Price (T.Rowe) Associates Inc	40561005	2020-06-29	0.084	1261041645
2	Vanguard Group, Inc. (The)	32490216	2020-06-29	0.0672	1010120815
3	Wellington Management Company, LLP	19715481	2020-06-29	0.0408	612954304
4	Blackrock Inc.	14774638	2020-06-29	0.030600000000000002	459343495
5	FMR, LLC	13511344	2020-06-29	0.027999999999999997	420067684
6	FIL LTD	12689744	2020-06-29	0.0263	394524140
7	Nuveen Asset Management	9801142	2020-06-29	0.0203	304717504
8	Bank Of New York Mellon Corporation	8415796	2020-06-29	0.0174	261647097
9	Baillie Gifford and Company	8114808	2020-06-29	0.0168	252289380
