	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	85221362	2020-06-29	0.0877	3092683226
1	Wellington Management Company, LLP	80955838	2020-06-29	0.0833	2937887361
2	Blackrock Inc.	73017256	2020-06-29	0.07519999999999999	2649796220
3	State Street Corporation	63340361	2020-06-29	0.0652	2298621700
4	FMR, LLC	30529963	2020-06-29	0.031400000000000004	1107932357
5	Capital International Investors	29337367	2020-06-29	0.0302	1064653048
6	Invesco Ltd.	23372060	2020-06-29	0.0241	848172057
7	Price (T.Rowe) Associates Inc	18868311	2020-06-29	0.0194	684731006
8	Geode Capital Management, LLC	15405510	2020-06-29	0.0159	559065957
9	Barrow, Hanley Mewhinney & Strauss, LLC	14764742	2020-06-29	0.0152	535812487
