	0	1
Earnings Date	2020-11-12 00:00:00	2020-11-16 00:00:00
Earnings Average	2.56	2.56
Earnings Low	2.5	2.5
Earnings High	2.68	2.68
Revenue Average	4409150000	4409150000
Revenue Low	4348100000	4348100000
Revenue High	4481990000	4481990000
