	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	52599487	2020-06-29	0.07519999999999999	2758843093
1	Blackrock Inc.	46137823	2020-06-29	0.0659	2419928816
2	Comprehensive Financial Management, LLC	32933858	2020-06-29	0.0471	1727380852
3	State Street Corporation	32182801	2020-06-29	0.046	1687987912
4	Baupost Group, Inc,.(The) LLC	32086000	2020-06-29	0.0458	1682910700
5	Nordea Investment Management Ab	22314546	2020-06-29	0.0319	1170397937
6	FMR, LLC	18491744	2020-06-29	0.0264	969891972
7	Ameriprise Financial, Inc.	17782075	2020-06-29	0.0254	932669833
8	Renaissance Technologies, LLC	13279334	2020-06-29	0.019	696501068
9	Geode Capital Management, LLC	10400989	2020-06-29	0.0149	545531873
