Date	Dividends	Stock Splits
2006-02-13	0.04	0.0
2006-05-11	0.04	0.0
2006-08-11	0.04	0.0
2006-11-13	0.04	0.0
2007-02-13	0.04	0.0
2007-05-11	0.04	0.0
2007-08-13	0.04	0.0
2007-11-13	0.04	0.0
2008-02-13	0.06	0.0
2008-05-13	0.06	0.0
2008-08-13	0.06	0.0
2008-11-12	0.06	0.0
2009-02-11	0.06	0.0
2009-05-13	0.06	0.0
2009-08-12	0.06	0.0
2009-11-10	0.06	0.0
2010-02-10	0.06	0.0
2010-05-12	0.08	0.0
2010-08-11	0.08	0.0
2010-11-10	0.08	0.0
2011-02-11	0.08	0.0
2011-05-11	0.1	0.0
2011-08-11	0.1	0.0
2011-11-10	0.1	0.0
2012-02-13	0.1	0.0
2012-05-11	0.12	0.0
2012-08-13	0.12	0.0
2012-11-13	0.12	0.0
2013-02-13	0.12	0.0
2013-05-13	0.14	0.0
2013-08-13	0.14	0.0
2013-11-13	0.14	0.0
2014-02-12	0.14	0.0
2014-05-13	0.16	0.0
2014-08-13	0.16	0.0
2014-11-12	0.16	0.0
2015-02-11	0.16	0.0
2015-05-13	0.16	0.0
2015-08-12	0.16	0.0
2015-11-10	0.16	0.0
2016-02-10	0.16	0.0
2016-05-11	0.08	0.0
2016-08-11	0.08	0.0
2016-11-10	0.08	0.0
2017-02-13	0.08	0.0
2017-05-11	0.08	0.0
2017-08-11	0.08	0.0
2017-11-14	0.08	0.0
2018-02-14	0.08	0.0
2018-05-14	0.16	0.0
2018-08-14	0.16	0.0
2018-11-14	0.18	0.0
2019-02-14	0.18	0.0
2019-05-14	0.2	0.0
2019-08-14	0.2	0.0
2019-11-14	0.2	0.0
2020-02-13	0.2	0.0
2020-05-14	0.22	0.0
2020-08-13	0.22	0.0
