	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	17804142	2020-06-29	0.1173	3471807690
1	Price (T.Rowe) Associates Inc	13108396	2020-06-29	0.0864	2556137220
2	Blackrock Inc.	12846847	2020-06-29	0.08470000000000001	2505135165
3	State Street Corporation	6554645	2020-06-29	0.0432	1278155775
4	JP Morgan Chase & Company	6380794	2020-06-29	0.042	1244254830
5	Parnassus Investments /ca	3753352	2020-06-29	0.024700000000000003	731903640
6	Invesco Ltd.	2987716	2020-06-29	0.0197	582604620
7	Pictet Asset Management Ltd	2986390	2020-06-29	0.0197	582346050
8	Ameriprise Financial, Inc.	2829741	2020-06-29	0.018600000000000002	551799495
9	Franklin Resources, Inc.	2663434	2020-06-29	0.0176	519369630
