	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	4427356	2020-06-29	0.1128	460533571
1	Vanguard Group, Inc. (The)	3287477	2020-06-29	0.08380000000000001	341963357
2	Neuberger Berman Group, LLC	2387289	2020-06-29	0.0608	248325801
3	State Street Corporation	1143167	2020-06-29	0.0291	118912231
4	ClearBridge Investments, LLC	1054824	2020-06-29	0.0269	109722792
5	Congress Asset Management	930030	2020-06-29	0.023700000000000002	96741720
6	Df Dent & Co Inc	885946	2020-06-29	0.0226	92156102
7	Dimensional Fund Advisors LP	736115	2020-06-29	0.018799999999999997	76570682
8	Invesco Ltd.	711478	2020-06-29	0.0181	74007941
9	Northern Trust Corporation	676751	2020-06-29	0.0172	70395639
