	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	18044503	2020-06-29	0.0823	4316064672
1	Blackrock Inc.	17649713	2020-06-29	0.0805	4221634852
2	Capital Research Global Investors	14464177	2020-06-29	0.066	3459686496
3	Loomis Sayles & Company, LP	10650841	2020-06-29	0.048600000000000004	2547574658
4	State Street Corporation	8838576	2020-06-29	0.0403	2114098993
5	Capital World Investors	8002982	2020-06-29	0.0365	1914233264
6	FMR, LLC	7139620	2020-06-29	0.0326	1707725707
7	Polen Capital Management, LLC	6046593	2020-06-29	0.0276	1446284579
8	ClearBridge Investments, LLC	3916152	2020-06-29	0.0179	936704396
9	Bank of America Corporation	3849149	2020-06-29	0.0176	920677949
