	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	75044124	2020-06-29	0.0843	9063078855
1	Blackrock Inc.	60997693	2020-06-29	0.06849999999999999	7366691383
2	State Street Corporation	53915540	2020-06-29	0.0605	6511379765
3	Geode Capital Management, LLC	13082412	2020-06-29	0.0147	1579962897
4	Charles Schwab Investment Management, Inc.	11234129	2020-06-29	0.0126	1356745759
5	Bank Of New York Mellon Corporation	11014781	2020-06-29	0.0124	1330255101
6	Northern Trust Corporation	10938862	2020-06-29	0.0123	1321086363
7	Norges Bank Investment Management	8981778	2019-12-30	0.0101	1203917523
8	Nordea Investment Management Ab	8762452	2020-06-29	0.0098	1058241328
9	Morgan Stanley	8603061	2020-06-29	0.0097	1038991676
