Date	Dividends	Stock Splits
1994-12-08	0.0	2.0
1995-12-14	0.0	2.0
1997-12-22	0.0	2.0
1999-12-22	0.0	2.0
2002-11-06	0.02	0.0
2003-02-06	0.02	0.0
2003-05-08	0.04	0.0
2003-08-20	0.08	0.0
2003-11-06	0.08	0.0
2004-02-11	0.08	0.0
2004-05-05	0.08	0.0
2004-08-12	0.08	0.0
2004-11-10	0.1	0.0
2005-02-10	0.1	0.0
2005-05-12	0.1	0.0
2005-08-11	0.1	0.0
2005-11-09	0.125	0.0
2006-02-09	0.125	0.0
2006-05-11	0.125	0.0
2006-08-17	0.156	0.0
2006-11-17	0.156	0.0
2007-02-14	0.156	0.0
2007-05-09	0.156	0.0
2007-08-21	0.188	0.0
2007-11-13	0.188	0.0
2008-02-12	0.188	0.0
2008-05-12	0.19	0.0
2008-05-13	0.188	0.0
2008-08-20	0.2	0.0
2008-11-19	0.2	0.0
2009-02-18	0.2	0.0
2009-05-20	0.2	0.0
2009-08-19	0.2	0.0
2009-11-18	0.2	0.0
2010-02-17	0.2	0.0
2010-05-19	0.2	0.0
2010-08-18	0.21	0.0
2010-11-19	0.21	0.0
2011-02-17	0.21	0.0
2011-05-20	0.21	0.0
2011-08-19	0.22	0.0
2011-11-21	0.22	0.0
2012-02-17	0.22	0.0
2012-05-17	0.22	0.0
2012-08-20	0.24	0.0
2012-11-19	0.24	0.0
2013-02-15	0.24	0.0
2013-05-20	0.24	0.0
2013-08-20	0.26	0.0
2013-11-19	0.26	0.0
2014-02-18	0.26	0.0
2014-05-20	0.26	0.0
2014-08-19	0.28	0.0
2014-11-18	0.28	0.0
2015-02-17	0.28	0.0
2015-05-19	0.28	0.0
2015-08-18	0.3	0.0
2015-11-17	0.3	0.0
2016-02-16	0.3	0.0
2016-05-17	0.3	0.0
2016-08-16	0.33	0.0
2016-11-29	0.33	0.0
2017-02-28	0.33	0.0
2017-05-30	0.33	0.0
2017-08-29	0.36	0.0
2017-11-29	0.36	0.0
2018-02-28	0.42	0.0
2018-05-30	0.42	0.0
2018-08-29	0.46	0.0
2018-11-28	0.46	0.0
2019-02-27	0.46	0.0
2019-05-29	0.46	0.0
2019-08-28	0.48	0.0
2019-11-26	0.48	0.0
2020-02-26	0.48	0.0
2020-05-27	0.48	0.0
2020-08-26	0.48	0.0
