	Holder	Shares	Date Reported	% Out	Value
0	Blackrock Inc.	23085334	2020-06-29	0.0882	6837645077
1	Price (T.Rowe) Associates Inc	21995327	2020-06-29	0.084	6514795904
2	Vanguard Group, Inc. (The)	20742050	2020-06-29	0.07919999999999999	6143587789
3	State Street Corporation	11261782	2020-06-29	0.043	3335627210
4	FMR, LLC	6425857	2020-06-29	0.0245	1903274584
5	Edgewood Management Company	6330438	2020-06-29	0.0242	1875012431
6	Fundsmith LLP	4590217	2020-06-29	0.0175	1359576373
7	Geode Capital Management, LLC	3966336	2020-06-29	0.0151	1174789059
8	Nuveen Asset Management	3516838	2020-06-29	0.0134	1041652247
9	Sands Capital Management, Inc.	3299135	2020-06-29	0.0126	977170795
