	0	1
Earnings Date	2020-10-29 00:00:00	2020-11-02 00:00:00
Earnings Average	0.81	0.81
Earnings Low	-0.29	-0.29
Earnings High	2.35	2.35
Revenue Average	3653820000	3653820000
Revenue Low	3293680000	3293680000
Revenue High	4045000000	4045000000
