	Holder	Shares	Date Reported	% Out	Value
0	FMR, LLC	10138447	2020-06-29	0.1481	2003458511
1	Spruce House Investment Management LLC	7250000	2020-06-29	0.1059	1432672500
2	Baillie Gifford and Company	6090849	2020-06-29	0.08900000000000001	1203612670
3	Vanguard Group, Inc. (The)	5523569	2020-06-29	0.08070000000000001	1091512470
4	Prescott General Partners LLC	4639102	2020-06-29	0.0678	916732946
5	Morgan Stanley	4597299	2020-06-29	0.0672	908472255
6	Blackrock Inc.	3477428	2020-06-29	0.0508	687174547
7	Bares Capital Management Inc	2990042	2020-06-29	0.0437	590862199
8	Ruane, Cunniff & Goldfarb L.P.	2968852	2020-06-29	0.0434	586674843
9	Janus Henderson Group PLC	2761933	2020-06-29	0.0404	545785580
