	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	24417888	2020-09-29	0.1061	2427138067
1	Blackrock Inc.	15914125	2020-09-29	0.0692	1581864025
2	FMR, LLC	10257171	2020-09-29	0.0446	1019562797
3	State Street Corporation	9345130	2020-09-29	0.0406	928905922
4	Massachusetts Financial Services Co.	6932771	2020-09-29	0.0301	689117437
5	JP Morgan Chase & Company	4875070	2020-09-29	0.0212	484581958
6	Boston Partners	4359094	2020-09-29	0.0189	433293943
7	American Century Companies, Inc.	4290425	2020-09-29	0.018600000000000002	426468245
8	Geode Capital Management, LLC	3734325	2020-09-29	0.016200000000000003	371191905
9	Mawer Investment Management Limited	3725305	2020-09-29	0.016200000000000003	370295317
