	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	23680065	2020-06-29	0.0756	3721322214
1	Blackrock Inc.	19127647	2020-06-29	0.061	3005909726
2	Wellington Management Company, LLP	16054784	2020-06-29	0.0512	2523009305
3	State Street Corporation	12450017	2020-06-29	0.0397	1956520171
4	Loomis Sayles & Company, LP	8974832	2020-06-29	0.0286	1410394848
5	Capital International Investors	7828685	2020-06-29	0.025	1230277847
6	JP Morgan Chase & Company	5516787	2020-06-29	0.0176	866963077
7	Price (T.Rowe) Associates Inc	4814349	2020-06-29	0.0154	756574945
8	Geode Capital Management, LLC	4359701	2020-06-29	0.0139	685127012
9	Bank of America Corporation	4135675	2020-06-29	0.0132	649921326
