	0	1
Earnings Date	2020-10-27 00:00:00	2020-11-02 00:00:00
Earnings Average	0.71	0.71
Earnings Low	0.26	0.26
Earnings High	0.89	0.89
Revenue Average	621190000	621190000
Revenue Low	600440000	600440000
Revenue High	689870000	689870000
