	0	1
Earnings Date	2020-12-01 00:00:00	2020-12-07 00:00:00
Earnings Average	0.75	0.75
Earnings Low	0.73	0.73
Earnings High	0.82	0.82
Revenue Average	5248490000	5248490000
Revenue Low	5243960000	5243960000
Revenue High	5282000000	5282000000
