	Holder	Shares	Date Reported	% Out	Value
0	Wellington Management Company, LLP	13141467	2020-06-29	0.07730000000000001	100663637
1	Vanguard Group, Inc. (The)	11487395	2020-06-29	0.0675	87993445
2	Blackrock Inc.	8828308	2020-06-29	0.0519	67624839
3	Invesco Ltd.	4512718	2020-06-29	0.0265	34567419
4	State Street Corporation	4099661	2020-06-29	0.0241	31403403
5	Federated Hermes, Inc.	3120000	2020-06-29	0.0183	23899200
6	JP Morgan Chase & Company	2292231	2020-06-29	0.013500000000000002	17558489
7	Norges Bank Investment Management	1354379	2019-12-30	0.008	10564156
8	Geode Capital Management, LLC	1276382	2020-06-29	0.0075	9777086
9	Morgan Stanley	1018717	2020-06-29	0.006	7803372
