	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	223118903	2020-06-29	0.08960000000000001	26678327231
1	Blackrock Inc.	164626849	2020-06-29	0.0661	19684432334
2	State Street Corporation	116637252	2020-06-29	0.046799999999999994	13946316221
3	Wellington Management Company, LLP	44338261	2020-06-29	0.0178	5301525867
4	Geode Capital Management, LLC	39510855	2020-06-29	0.0159	4724312932
5	Northern Trust Corporation	32167527	2020-06-29	0.0129	3846271203
6	Morgan Stanley	29581252	2020-06-29	0.011899999999999999	3537030301
7	Norges Bank Investment Management	26731443	2019-12-30	0.010700000000000001	3338757230
8	Bank of America Corporation	25775639	2020-06-29	0.0104	3081993155
9	Bank Of New York Mellon Corporation	25520174	2020-06-29	0.0103	3051447205
