	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	23255410	2020-06-29	0.096	150229948
1	Blackrock Inc.	18545791	2020-06-29	0.0766	119805809
2	Goldman Sachs Group, Inc.	18450504	2020-06-29	0.0762	119190255
3	Magnetar Financial LLC	10843632	2020-06-29	0.044800000000000006	70049862
4	FIL LTD	9501791	2020-06-29	0.0392	61381569
5	Pentwater Capital Management Lp	8820454	2020-06-29	0.0364	56980132
6	Renaissance Technologies, LLC	8682416	2020-06-29	0.0359	56088407
7	ARP Americas LP	6554962	2020-06-29	0.0271	42345054
8	Citigroup Inc.	6455121	2020-06-29	0.026699999999999998	41700081
9	State Street Corporation	6317085	2020-06-29	0.026099999999999998	40808369
