	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	25098916	2020-06-29	0.0866	6005417631
1	Price (T.Rowe) Associates Inc	22059136	2020-06-29	0.0761	5278089470
2	Blackrock Inc.	20760348	2020-06-29	0.0716	4967328465
3	FMR, LLC	12360686	2020-06-29	0.0426	2957541339
4	State Street Corporation	12198177	2020-06-29	0.0421	2918657810
5	Wellington Management Company, LLP	8959994	2020-06-29	0.030899999999999997	2143857764
6	Morgan Stanley	7201827	2020-06-29	0.0248	1723181146
7	Massachusetts Financial Services Co.	4244800	2020-06-29	0.0146	1015653296
8	Fundsmith LLP	4242057	2020-06-29	0.0146	1014996978
9	Geode Capital Management, LLC	4110963	2020-06-29	0.014199999999999999	983630117
