	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	29560211	2020-06-29	0.1139	835371562
1	Blackrock Inc.	23467768	2020-06-29	0.0904	663199123
2	State Street Corporation	12962136	2020-06-29	0.0499	366309963
3	JP Morgan Chase & Company	8644635	2020-06-29	0.0333	244297385
4	FMR, LLC	7898317	2020-06-29	0.0304	223206438
5	Price (T.Rowe) Associates Inc	6100034	2020-06-29	0.0235	172386960
6	Lsv Asset Management	5860958	2020-06-29	0.0226	165630673
7	Geode Capital Management, LLC	4448163	2020-06-29	0.0171	125705086
8	Dimensional Fund Advisors LP	4130730	2020-06-29	0.0159	116734429
9	Capital World Investors	4000000	2020-06-29	0.0154	113040000
