	Holder	Shares	Date Reported	% Out	Value
0	Dodge & Cox Inc	139136821	2020-06-29	0.1496	2546203824
1	Vanguard Group, Inc. (The)	116562073	2020-06-29	0.1253	2133085935
2	Icahn, Carl, C.	99705680	2020-06-29	0.1072	1824613944
3	Blackrock Inc.	63458989	2020-06-29	0.0682	1161299498
4	State Street Corporation	58195716	2020-06-29	0.0626	1064981602
5	Geode Capital Management, LLC	16329160	2020-06-29	0.0176	298823628
6	Capital World Investors	12090548	2020-06-29	0.013000000000000001	221257028
7	Northern Trust Corporation	11849713	2020-06-29	0.0127	216849747
8	Norges Bank Investment Management	10465306	2019-12-30	0.0113	431275260
9	Dimensional Fund Advisors LP	8700383	2020-06-29	0.009399999999999999	159217008
