	Holder	Shares	Date Reported	% Out	Value
0	Vanguard Group, Inc. (The)	53866149	2020-06-29	0.1284	9014500035
1	Blackrock Inc.	30289974	2020-06-29	0.0722	5069027148
2	State Street Corporation	19439159	2020-06-29	0.0463	3253143258
3	Capital World Investors	19045509	2020-06-29	0.0454	3187265931
4	Capital International Investors	14506966	2020-06-29	0.0346	2427740760
5	Capital Research Global Investors	13732295	2020-06-29	0.0327	2298099568
6	Magellan Asset Management Ltd	13512574	2020-06-29	0.0322	2261329258
7	Bank of America Corporation	10662390	2020-06-29	0.0254	1784350966
8	Wellington Management Company, LLP	8633413	2020-06-29	0.0206	1444801665
9	Morgan Stanley	7646886	2020-06-29	0.0182	1279706372
